methods: {'agent_full_qwen14b': 1429, 'agent_full_qwen72b': 1431, 'hybrid_static': 1319, 'hybrid_rules': 1319, 'cons_aiwp': 1319, 'cons_bc': 1431}
                  stratum             method  lead    n  track_km  track_med_km  vmax_mae_kt  vmax_bias_kt  n_storms
    intensity=TS(34-63kt) agent_full_qwen14b    72  609     244.1         128.2         18.6           3.8       122
    intensity=TS(34-63kt) agent_full_qwen72b    72  609     247.2         136.6         17.3           1.6       122
    intensity=TS(34-63kt)      hybrid_static    72  609     246.4         115.3         17.8           3.0       122
    intensity=TS(34-63kt)       hybrid_rules    72  609     246.4         115.3         17.8           3.0       122
    intensity=TS(34-63kt)          cons_aiwp    72  609     246.4         115.3         22.9         -22.2       122
    intensity=TS(34-63kt)            cons_bc    72  609     254.9         142.3         17.8           3.0       122
intensity=Cat1-2(64-95kt) agent_full_qwen14b    24  274      63.4          44.9         17.2          -5.0        71
intensity=Cat1-2(64-95kt) agent_full_qwen72b    24  274      65.2          46.0         17.7          -4.6        71
intensity=Cat1-2(64-95kt)      hybrid_static    24  274      59.0          38.5         16.6          -2.8        71
intensity=Cat1-2(64-95kt)       hybrid_rules    24  274      59.0          38.5         16.0          -0.8        71
intensity=Cat1-2(64-95kt)          cons_aiwp    24  274      59.0          38.5         37.1         -37.1        71
intensity=Cat1-2(64-95kt)            cons_bc    24  274      67.4          47.6         16.6          -2.8        71
intensity=Cat1-2(64-95kt) agent_full_qwen14b    48  242     130.0          72.9         20.9          -1.9        65
intensity=Cat1-2(64-95kt) agent_full_qwen72b    48  242     133.8          77.5         19.6          -2.1        65
intensity=Cat1-2(64-95kt)      hybrid_static    48  242     125.4          62.0         19.4          -1.3        65
intensity=Cat1-2(64-95kt)       hybrid_rules    48  242     125.4          62.0         19.4          -1.3        65
intensity=Cat1-2(64-95kt)          cons_aiwp    48  242     125.4          62.0         32.4         -32.3        65
intensity=Cat1-2(64-95kt)            cons_bc    48  242     138.9          83.7         19.4          -1.3        65
intensity=Cat1-2(64-95kt) agent_full_qwen14b    72  201     179.5         107.2         19.7          -1.8        54
intensity=Cat1-2(64-95kt) agent_full_qwen72b    72  201     188.6         114.5         18.6          -3.6        54
intensity=Cat1-2(64-95kt)      hybrid_static    72  201     185.9          90.5         18.9          -1.3        54
intensity=Cat1-2(64-95kt)       hybrid_rules    72  201     185.9          90.5         18.9          -1.3        54
intensity=Cat1-2(64-95kt)          cons_aiwp    72  201     185.9          90.5         29.6         -29.3        54
intensity=Cat1-2(64-95kt)            cons_bc    72  201     194.8         121.2         18.9          -1.3        54
  intensity=Cat3+(>=96kt) agent_full_qwen14b    24  150      48.0          38.9         17.6          -4.2        30
  intensity=Cat3+(>=96kt) agent_full_qwen72b    24  150      50.4          40.2         18.0          -1.6        30
  intensity=Cat3+(>=96kt)      hybrid_static    24  150      45.5          35.6         16.3          -2.1        30
  intensity=Cat3+(>=96kt)       hybrid_rules    24  150      45.5          35.6         16.3          -2.1        30
  intensity=Cat3+(>=96kt)          cons_aiwp    24  150      45.5          35.6         59.1         -59.1        30
  intensity=Cat3+(>=96kt)            cons_bc    24  150      50.3          40.2         16.3          -2.1        30
  intensity=Cat3+(>=96kt) agent_full_qwen14b    48  138      69.1          54.6         18.2          -6.1        28
  intensity=Cat3+(>=96kt) agent_full_qwen72b    48  138      71.2          62.9         19.0          -7.7        28
