method,lead,n,track_km,track_med_km,vmax_mae_kt,vmax_bias_kt,n_storms,track_skill_pct,vmax_skill_pct
persistence,72,907,825.5713571890084,695.9824531927845,27.345750873108265,6.675203725261932,119,-23.9920659069185,-22.983649300265448
cliper,72,907,665.8259551935921,561.483262070033,22.235273573923166,1.1284051222351568,119,0.0,0.0
gru,72,907,619.1015643621125,520.8055581761262,20.659720605355062,0.2208381839348077,119,7.01750817417357,7.0858267757760505
transformer,72,907,615.426689063127,515.7234652534454,20.28032596041909,1.1231664726426076,119,7.5694354864570075,8.79210056491851
cons_equal,72,907,359.01801785680186,288.8050126867431,19.223748544819557,-12.678928987194412,119,46.07929969440502,13.543908147077765
cons_weighted,72,907,221.93354500119315,131.88613891872293,19.00884749708964,-9.414668218859138,119,66.66793427470624,14.510395233532803
cons_bc,72,907,221.93354500119315,131.88613891872293,17.88183934807916,1.1772991850989525,119,66.66793427470624,19.578955084004797
cons_aiwp,72,907,213.68064164210475,105.89213140844807,26.696973224679862,-26.186146682188593,119,67.90743286960388,-20.065863529510327
hybrid_static,72,907,213.68064164210475,105.89213140844807,17.88183934807916,1.1772991850989525,119,67.90743286960388,19.578955084004797
hybrid_rules,72,907,213.68064164210475,105.89213140844807,17.88509895227008,1.150756693830035,119,67.90743286960388,19.564295474892802
static_convex,72,907,209.11246016793447,113.85827987444316,17.88183934807916,1.1772991850989525,119,68.5935252993954,19.578955084004797
static_basin,72,907,197.53315764508423,113.26000818924383,17.88183934807916,1.1772991850989525,119,70.3326137852871,19.578955084004797
static_icat,72,907,210.7534370422971,113.32099019261638,17.88183934807916,1.1772991850989525,119,68.34706796898304,19.578955084004797
gate_ridge,72,907,207.0139972278393,120.63359987519407,17.88183934807916,1.1772991850989525,119,68.90869218703723,19.578955084004797
gbt_static,72,907,216.03377610859079,118.14870884290572,17.88183934807916,1.1772991850989525,119,67.55401701848977,19.578955084004797
gbt_case,72,907,175.7269370934757,115.83131559225782,17.88183934807916,1.1772991850989525,119,73.6076769427857,19.578955084004797
gbt_shuffled,72,907,183.66633822420778,117.82713595630266,17.88183934807916,1.1772991850989525,119,72.41526305912693,19.578955084004797
learned_gbt2,72,907,175.7269370934757,115.83131559225782,17.11932479627474,1.0471478463329453,119,73.6076769427857,23.008256501274857
learned_gbt_contract,72,907,179.54981709270342,116.86841242278001,17.79452852153667,1.2247962747380674,119,73.03352089353464,19.971623185218927
analog_median,72,907,213.68064164210475,105.89213140844807,21.338766006984866,3.9930151338766007,119,67.90743286960388,4.031916063266685
analog_linear,72,907,213.68064164210475,105.89213140844807,20.6256111757858,2.0859138533178117,119,67.90743286960388,7.239229113983686
aiwp_postproc,72,907,213.68064164210475,105.89213140844807,14.807683352735738,0.8826542491268918,119,67.90743286960388,33.404537149020165
agent_full_qwen14b,72,907,209.70361412581155,118.86050581318875,18.527240977881256,1.1651920838183933,119,68.50474024178898,16.67635247982995
agent_full_qwen72b,72,907,215.12666009672722,128.17097641467862,17.541676367869616,-0.7516880093131546,119,67.6902562270679,21.10879000633504
agent_full_qwen7b,72,907,220.45200426991798,127.52018710089436,19.540512223515716,-0.5053550640279395,119,66.89044598662116,12.1193082758729
agent_mini_qwen14b,72,907,221.93354500119315,131.88613891872293,18.523981373690336,1.967753201396973,119,66.66793427470624,16.691012088941946
agent_single_qwen14b,72,907,211.73172648193326,115.839565743435,18.29732246798603,3.232363213038416,119,68.20013926606823,17.710378479693816
agent_single_refine_qwen14b,72,907,212.4665370840481,115.44756999054675,18.019674039580906,3.2962747380675204,119,68.08977850341198,18.959063041554764
agent_no_analogs_qwen14b,72,907,209.45120320456246,117.8444948283532,18.795343422584402,2.7024447031431897,119,68.54264968633379,15.470599630368417
agent_no_auditor_qwen14b,72,907,208.50140480424008,119.99115579260327,18.344353899883586,3.560186263096624,119,68.68529933717929,17.498861262506473
agent_no_diagnostics_qwen14b,72,907,210.65327288385348,116.89114319548136,18.75878928987194,1.5715948777648427,119,68.36211156373365,15.634996675410086
agent_full_qwen14b_anon,72,907,212.3130514316611,118.3936744507618,18.415483119906867,0.709313154831199,119,68.1128304212878,17.17896764938404
agent_full_qwen14b_gateadv,72,907,204.1028573015785,116.48684710827652,18.422817229336438,0.7115250291036088,119,69.34591454275245,17.145983528882045
agent_featmatch_qwen14b,72,907,232.45749079722583,142.78916143828673,18.414086146682187,1.1386495925494764,119,65.087349181268,17.185250339003463
agent_featmatch_fs_qwen14b,72,907,282.5453725740746,202.11161872217298,18.910942956926657,1.6639115250291037,119,57.564680323715656,14.950707064360925
agent_full_qwen14b_t0,72,907,211.19114988726272,118.1671097012786,18.786961583236323,0.9860302677532016,119,68.28132813989538,15.508295768084976
agent_full_qwen14b_strongprior,72,907,210.1950630131754,117.71005932951536,15.482421420256111,0.2938300349243306,119,68.43092982879284,30.36999806283737
pangu,72,907,220.89548744133143,121.35361056013795,24.493247962747386,-23.583119906868454,119,66.82383951567269,-10.154920654865707
fengwu,72,907,253.58324586271794,110.65169967739487,29.114784633294526,-28.783701979045404,119,61.91448472611924,-30.939628588331992
